,Año,Trimestre,Provincia,Accesos por cada 100 hogares
0,2022,1,Buenos Aires,76.08
1,2022,1,Capital Federal,111.8
2,2022,1,Catamarca,58.21
3,2022,1,Chaco,44.06
4,2022,1,Chubut,88.05
5,2022,1,Córdoba,85.76
6,2022,1,Corrientes,47.64
7,2022,1,Entre Ríos,63.7
8,2022,1,Formosa,34.96
9,2022,1,Jujuy,58.06
10,2022,1,La Pampa,91.66
11,2022,1,La Rioja,78.77
12,2022,1,Mendoza,48.74
13,2022,1,Misiones,49.04
14,2022,1,Neuquén,74.17
15,2022,1,Río Negro,67.04
16,2022,1,Salta,56.11
17,2022,1,San Juan,43.55
18,2022,1,San Luis,80.72
19,2022,1,Santa Cruz,43.34
20,2022,1,Santa Fe,77.3
21,2022,1,Santiago Del Estero,47.17
22,2022,1,Tierra Del Fuego,98.29
23,2022,1,Tucumán,57.39
24,2021,4,Buenos Aires,75.66
25,2021,4,Capital Federal,111.27
26,2021,4,Catamarca,55.25
27,2021,4,Chaco,44.05
28,2021,4,Chubut,82.57
29,2021,4,Córdoba,84.51
30,2021,4,Corrientes,45.51
31,2021,4,Entre Ríos,63.16
32,2021,4,Formosa,34.45
33,2021,4,Jujuy,56.92
34,2021,4,La Pampa,89.57
35,2021,4,La Rioja,77.92
36,2021,4,Mendoza,47.51
37,2021,4,Misiones,49.06
38,2021,4,Neuquén,73.3
39,2021,4,Río Negro,65.69
40,2021,4,Salta,56.81
41,2021,4,San Juan,39.59
42,2021,4,San Luis,80.3
43,2021,4,Santa Cruz,43.05
44,2021,4,Santa Fe,77.09
45,2021,4,Santiago Del Estero,47.05
46,2021,4,Tierra Del Fuego,98.4
47,2021,4,Tucumán,55.93
48,2021,3,Buenos Aires,71.68
49,2021,3,Capital Federal,111.27
50,2021,3,Catamarca,52.71
51,2021,3,Chaco,42.96
52,2021,3,Chubut,80.71
53,2021,3,Córdoba,81.28
54,2021,3,Corrientes,44.9
55,2021,3,Entre Ríos,62.18
56,2021,3,Formosa,33.96
57,2021,3,Jujuy,55.69
58,2021,3,La Pampa,84.28
59,2021,3,La Rioja,77.26
60,2021,3,Mendoza,45.55
61,2021,3,Misiones,45.57
62,2021,3,Neuquén,69.71
63,2021,3,Río Negro,61.97
64,2021,3,Salta,55.96
65,2021,3,San Juan,39.46
66,2021,3,San Luis,79.87
67,2021,3,Santa Cruz,43.75
68,2021,3,Santa Fe,75.02
69,2021,3,Santiago Del Estero,47.0
70,2021,3,Tierra Del Fuego,94.95
71,2021,3,Tucumán,54.64
72,2021,2,Buenos Aires,70.0
73,2021,2,Capital Federal,110.14
74,2021,2,Catamarca,52.34
75,2021,2,Chaco,43.33
76,2021,2,Chubut,72.29
77,2021,2,Córdoba,80.12
78,2021,2,Corrientes,43.54
79,2021,2,Entre Ríos,61.66
80,2021,2,Formosa,33.23
81,2021,2,Jujuy,56.18
82,2021,2,La Pampa,82.08
83,2021,2,La Rioja,76.98
84,2021,2,Mendoza,40.97
85,2021,2,Misiones,45.01
86,2021,2,Neuquén,69.14
87,2021,2,Río Negro,61.94
88,2021,2,Salta,54.93
89,2021,2,San Juan,39.28
90,2021,2,San Luis,83.48
91,2021,2,Santa Cruz,44.01
92,2021,2,Santa Fe,75.07
93,2021,2,Santiago Del Estero,46.56
94,2021,2,Tierra Del Fuego,67.89
95,2021,2,Tucumán,54.93
96,2021,1,Buenos Aires,69.11
97,2021,1,Capital Federal,108.42
98,2021,1,Catamarca,48.9
99,2021,1,Chaco,43.14
100,2021,1,Chubut,68.99
101,2021,1,Córdoba,78.59
102,2021,1,Corrientes,42.66
103,2021,1,Entre Ríos,60.44
104,2021,1,Formosa,32.73
105,2021,1,Jujuy,55.63
106,2021,1,La Pampa,81.78
107,2021,1,La Rioja,49.81
108,2021,1,Mendoza,39.15
109,2021,1,Misiones,43.17
110,2021,1,Neuquén,66.84
111,2021,1,Río Negro,60.88
112,2021,1,Salta,53.93
113,2021,1,San Juan,39.06
114,2021,1,San Luis,81.24
115,2021,1,Santa Cruz,41.65
116,2021,1,Santa Fe,73.92
117,2021,1,Santiago Del Estero,45.67
118,2021,1,Tierra Del Fuego,77.35
119,2021,1,Tucumán,54.82
120,2020,4,Buenos Aires,68.98
121,2020,4,Capital Federal,108.31
122,2020,4,Catamarca,49.41
123,2020,4,Chaco,43.03
124,2020,4,Chubut,68.35
125,2020,4,Córdoba,78.08
126,2020,4,Corrientes,42.43
127,2020,4,Entre Ríos,59.47
128,2020,4,Formosa,32.49
129,2020,4,Jujuy,53.46
130,2020,4,La Pampa,81.77
131,2020,4,La Rioja,50.11
132,2020,4,Mendoza,38.63
133,2020,4,Misiones,42.64
134,2020,4,Neuquén,67.0
135,2020,4,Río Negro,61.09
136,2020,4,Salta,54.04
137,2020,4,San Juan,36.32
138,2020,4,San Luis,81.68
139,2020,4,Santa Cruz,37.0
140,2020,4,Santa Fe,73.58
141,2020,4,Santiago Del Estero,43.75
142,2020,4,Tierra Del Fuego,76.27
143,2020,4,Tucumán,54.78
144,2020,3,Buenos Aires,67.66
145,2020,3,Capital Federal,107.68
146,2020,3,Catamarca,47.16
147,2020,3,Chaco,41.54
148,2020,3,Chubut,68.34
149,2020,3,Córdoba,75.22
150,2020,3,Corrientes,41.75
151,2020,3,Entre Ríos,58.19
152,2020,3,Formosa,31.91
153,2020,3,Jujuy,54.04
154,2020,3,La Pampa,79.26
155,2020,3,La Rioja,50.12
156,2020,3,Mendoza,37.35
157,2020,3,Misiones,41.6
158,2020,3,Neuquén,65.24
159,2020,3,Río Negro,57.05
160,2020,3,Salta,52.32
161,2020,3,San Juan,38.79
162,2020,3,San Luis,79.96
163,2020,3,Santa Cruz,35.95
164,2020,3,Santa Fe,72.12
165,2020,3,Santiago Del Estero,43.38
166,2020,3,Tierra Del Fuego,76.81
167,2020,3,Tucumán,53.23
168,2020,2,Buenos Aires,65.22
169,2020,2,Capital Federal,106.41
170,2020,2,Catamarca,45.43
171,2020,2,Chaco,39.83
172,2020,2,Chubut,57.34
173,2020,2,Córdoba,72.71
174,2020,2,Corrientes,40.3
175,2020,2,Entre Ríos,56.54
176,2020,2,Formosa,31.14
177,2020,2,Jujuy,47.89
178,2020,2,La Pampa,76.1
179,2020,2,La Rioja,49.84
180,2020,2,Mendoza,36.25
181,2020,2,Misiones,40.89
182,2020,2,Neuquén,63.9
183,2020,2,Río Negro,56.37
184,2020,2,Salta,51.58
185,2020,2,San Juan,35.09
186,2020,2,San Luis,78.41
187,2020,2,Santa Cruz,35.79
188,2020,2,Santa Fe,70.0
189,2020,2,Santiago Del Estero,43.47
190,2020,2,Tierra Del Fuego,76.37
191,2020,2,Tucumán,51.78
192,2020,1,Buenos Aires,64.33
193,2020,1,Capital Federal,105.98
194,2020,1,Catamarca,37.62
195,2020,1,Chaco,37.48
196,2020,1,Chubut,51.27
197,2020,1,Córdoba,70.69
198,2020,1,Corrientes,38.73
199,2020,1,Entre Ríos,56.12
200,2020,1,Formosa,30.23
201,2020,1,Jujuy,46.67
202,2020,1,La Pampa,75.77
